audit_id,expected
SOURCE|AMD-Q4-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 51 percent"", ""id"": ""AMD-Q4-GM"", ""locator"": ""GAAP Quarterly Financial Results"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""51""}"
SOURCE|AMD-Q4-GAME,"{""basis"": ""reported_segment"", ""excerpt"": ""Gaming segment revenue was $563 million"", ""id"": ""AMD-Q4-GAME"", ""locator"": ""Segment Summary"", ""metric"": ""gaming_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""563""}"
ORACLE|FSEC-AMD-03|comparisons|1,12.3
ORACLE|FSEC-AMD-03|comparisons|2,1.0
SOURCE|INTC-2023-FOUNDRY-REV,"{""basis"": ""reported_segment"", ""excerpt"": ""Intel Foundry revenue $18,910 million"", ""id"": ""INTC-2023-FOUNDRY-REV"", ""locator"": ""Operating segment revenue"", ""metric"": ""foundry_segment_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""18910""}"
SOURCE|INTC-2023-FOUNDRY-OI,"{""basis"": ""reported_segment"", ""excerpt"": ""Intel Foundry operating loss $6,955 million"", ""id"": ""INTC-2023-FOUNDRY-OI"", ""locator"": ""Segment operating income (loss)"", ""metric"": ""foundry_operating_income"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""-6955""}"
SOURCE|INTC-2023-EXT-FOUNDRY,"{""basis"": ""reported_segment"", ""excerpt"": ""External customers were $953 million in 2023"", ""id"": ""INTC-2023-EXT-FOUNDRY"", ""locator"": ""Intel Foundry segment revenue policy"", ""metric"": ""external_foundry_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""953""}"
ORACLE|INTC-2023-EXT-SHARE,5.0
SOURCE|INTC-Q2-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Second-quarter revenue of $12.8 billion"", ""id"": ""INTC-Q2-REV"", ""locator"": ""News Summary"", ""metric"": ""quarterly_revenue"", ""precision"": ""rounded_to_100_million"", ""unit"": ""USD_million"", ""value"": ""12800""}"
SOURCE|INTC-Q2-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross Margin 35.4 percent"", ""id"": ""INTC-Q2-GM"", ""locator"": ""Q2 2024 Financial Highlights"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""35.4""}"
SOURCE|INTC-Q2-OM,"{""basis"": ""GAAP"", ""excerpt"": ""Operating Margin negative 15.3 percent"", ""id"": ""INTC-Q2-OM"", ""locator"": ""Q2 2024 Financial Highlights"", ""metric"": ""operating_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""-15.3""}"
SOURCE|INTC-Q2-HC,"{""basis"": ""management_action"", ""excerpt"": ""more than 15 percent headcount reduction"", ""id"": ""INTC-Q2-HC"", ""locator"": ""News Summary"", ""metric"": ""headcount_reduction"", ""precision"": ""lower_bound"", ""unit"": ""percent"", ""value"": ""15""}"
SOURCE|INTC-Q2-DIVIDEND,"{""basis"": ""management_action"", ""excerpt"": ""Suspending dividend starting in the fourth quarter of 2024"", ""id"": ""INTC-Q2-DIVIDEND"", ""locator"": ""News Summary"", ""metric"": ""dividend_action"", ""precision"": ""exact"", ""unit"": ""categorical"", ""value"": ""suspending dividend""}"
SOURCE|INTC-Q3-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Third-quarter revenue of $13.3 billion"", ""id"": ""INTC-Q3-REV"", ""locator"": ""News Summary"", ""metric"": ""quarterly_revenue"", ""precision"": ""rounded_to_100_million"", ""unit"": ""USD_million"", ""value"": ""13300""}"
SOURCE|INTC-Q3-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross Margin 15.0 percent"", ""id"": ""INTC-Q3-GM"", ""locator"": ""Q3 2024 Financial Highlights"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""15.0""}"
SOURCE|INTC-Q3-RESTRUCT,"{""basis"": ""GAAP"", ""excerpt"": ""$2.8 billion in restructuring charges"", ""id"": ""INTC-Q3-RESTRUCT"", ""locator"": ""Q3 2024 Restructuring and Impairment Charges"", ""metric"": ""restructuring_charges"", ""precision"": ""rounded_to_100_million"", ""unit"": ""USD_million"", ""value"": ""2800""}"
SOURCE|INTC-Q3-IMPAIR,"{""basis"": ""GAAP"", ""excerpt"": ""$15.9 billion of impairment charges"", ""id"": ""INTC-Q3-IMPAIR"", ""locator"": ""News Summary"", ""metric"": ""impairment_and_accelerated_depreciation"", ""precision"": ""rounded_to_100_million"", ""unit"": ""USD_million"", ""value"": ""15900""}"
ORACLE|FSEC-INTC-03|comparisons|1,3.9
ORACLE|FSEC-INTC-03|comparisons|2,-20.4
SOURCE|NKE-Q4FY24-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenues $12,606 million"", ""id"": ""NKE-Q4FY24-REV"", ""locator"": ""Consolidated Statements of Income"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""12606""}"
SOURCE|NKE-Q4FY24-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 44.7 percent"", ""id"": ""NKE-Q4FY24-GM"", ""locator"": ""Fourth Quarter Income Statement Review"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""44.7""}"
SOURCE|NKE-Q4FY24-GM-CHANGE,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin increased 110 basis points"", ""id"": ""NKE-Q4FY24-GM-CHANGE"", ""locator"": ""Fourth Quarter Income Statement Review"", ""metric"": ""gross_margin_yoy_change"", ""precision"": ""exact"", ""unit"": ""basis_point"", ""value"": ""110""}"
SOURCE|NKE-Q4FY24-DIRECT-YOY,"{""basis"": ""reported_channel"", ""excerpt"": ""NIKE Direct revenues were down 8 percent"", ""id"": ""NKE-Q4FY24-DIRECT-YOY"", ""locator"": ""Fourth Quarter Income Statement Review"", ""metric"": ""nike_direct_revenue_yoy"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""-8""}"
SOURCE|NKE-Q4FY24-DIGITAL,"{""basis"": ""reported_channel"", ""excerpt"": ""NIKE Brand Digital declined 10 percent"", ""id"": ""NKE-Q4FY24-DIGITAL"", ""locator"": ""Fourth Quarter Income Statement Review"", ""metric"": ""nike_brand_digital_yoy"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""-10""}"
SOURCE|NKE-Q2FY25-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenues $12,354 million"", ""id"": ""NKE-Q2FY25-REV"", ""locator"": ""Consolidated Statements of Income"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""12354""}"
SOURCE|NKE-Q2FY25-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 43.6 percent"", ""id"": ""NKE-Q2FY25-GM"", ""locator"": ""Second Quarter Income Statement Review"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""43.6""}"
SOURCE|NKE-Q2FY25-DIGITAL,"{""basis"": ""reported_channel"", ""excerpt"": ""NIKE Brand Digital decreased 21 percent"", ""id"": ""NKE-Q2FY25-DIGITAL"", ""locator"": ""Second Quarter Income Statement Review"", ""metric"": ""nike_brand_digital_yoy"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""-21""}"
ORACLE|FSEC-NKE-02|comparisons|1,-2.0
ORACLE|FSEC-NKE-02|comparisons|2,-1.1
SOURCE|NKE-Q4FY25-REV,"{""basis"": ""GAAP"", ""excerpt"": ""Revenues $11,097 million"", ""id"": ""NKE-Q4FY25-REV"", ""locator"": ""Consolidated Statements of Income"", ""metric"": ""quarterly_revenue"", ""precision"": ""exact"", ""unit"": ""USD_million"", ""value"": ""11097""}"
SOURCE|NKE-Q4FY25-GM,"{""basis"": ""GAAP"", ""excerpt"": ""Gross margin 40.3 percent"", ""id"": ""NKE-Q4FY25-GM"", ""locator"": ""Fourth Quarter Income Statement Review"", ""metric"": ""gross_margin"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""40.3""}"
SOURCE|NKE-Q4FY25-DIGITAL,"{""basis"": ""reported_channel"", ""excerpt"": ""NIKE Brand Digital decreased 26 percent"", ""id"": ""NKE-Q4FY25-DIGITAL"", ""locator"": ""Fourth Quarter Income Statement Review"", ""metric"": ""nike_brand_digital_yoy"", ""precision"": ""exact"", ""unit"": ""percent"", ""value"": ""-26""}"
ORACLE|FSEC-NKE-03|comparisons|1,-10.2
ORACLE|FSEC-NKE-03|comparisons|2,-3.3
ORACLE-GROUP|001,"[""REC-AMD-01-01"", ""REC-AMD-01-02"", ""REC-AMD-01-03"", ""REC-AMD-01-04"", ""REC-AMD-01-05"", ""REC-AMD-01-06"", ""REC-AMD-02-01"", ""REC-AMD-02-02"", ""REC-AMD-03-02""]"
ORACLE-GROUP|002,"[""REC-AMD-01-01"", ""REC-AMD-01-03"", ""REC-AMD-01-04"", ""REC-AMD-01-05"", ""REC-AMD-01-06"", ""REC-AMD-03-03""]"
ORACLE-GROUP|003,"[""REC-AMD-01-01"", ""REC-AMD-01-03"", ""REC-AMD-01-04"", ""REC-AMD-02-01""]"
ORACLE-GROUP|004,"[""REC-AMD-01-01"", ""REC-AMD-01-04"", ""REC-AMD-01-05"", ""REC-AMD-01-06""]"
ORACLE-GROUP|005,"[""REC-AMD-01-01"", ""REC-AMD-01-04"", ""REC-AMD-02-01"", ""REC-AMD-02-02"", ""REC-AMD-02-03"", ""REC-AMD-03-01""]"
ORACLE-GROUP|006,"[""REC-AMD-01-02"", ""REC-AMD-01-03"", ""REC-AMD-02-01"", ""REC-AMD-02-02"", ""REC-AMD-03-01"", ""REC-AMD-03-02""]"
ORACLE-GROUP|007,"[""REC-AMD-01-03""]"
ORACLE-GROUP|008,"[""REC-AMD-01-03"", ""REC-AMD-01-05"", ""REC-AMD-01-06""]"
ORACLE-GROUP|009,"[""REC-AMD-02-01"", ""REC-AMD-03-01""]"
ORACLE-GROUP|010,"[""REC-AMD-02-03""]"
ORACLE-GROUP|011,"[""REC-AMD-03-01""]"
ORACLE-GROUP|012,"[""REC-AMD-03-03""]"
ORACLE-GROUP|013,"[""REC-INTC-01-01""]"
ORACLE-GROUP|014,"[""REC-INTC-01-01"", ""REC-INTC-01-02""]"
ORACLE-GROUP|015,"[""REC-INTC-01-02"", ""REC-INTC-01-03""]"
ORACLE-GROUP|016,"[""REC-INTC-01-02"", ""REC-INTC-02-01"", ""REC-INTC-02-02"", ""REC-INTC-02-03"", ""REC-INTC-02-04"", ""REC-INTC-02-05"", ""REC-INTC-03-01"", ""REC-INTC-03-02"", ""REC-INTC-03-03"", ""REC-INTC-03-04""]"
ORACLE-GROUP|017,"[""REC-INTC-02-01"", ""REC-INTC-02-02"", ""REC-INTC-02-03"", ""REC-INTC-02-04"", ""REC-INTC-02-05""]"
ORACLE-GROUP|018,"[""REC-INTC-02-01"", ""REC-INTC-02-02"", ""REC-INTC-02-03"", ""REC-INTC-02-04"", ""REC-INTC-02-05"", ""REC-INTC-03-01"", ""REC-INTC-03-03"", ""REC-INTC-03-04""]"
ORACLE-GROUP|019,"[""REC-INTC-02-01"", ""REC-INTC-02-04"", ""REC-INTC-02-05""]"
ORACLE-GROUP|020,"[""REC-INTC-02-02"", ""REC-INTC-02-03""]"
ORACLE-GROUP|021,"[""REC-INTC-03-01"", ""REC-INTC-03-02"", ""REC-INTC-03-03"", ""REC-INTC-03-04""]"
ORACLE-GROUP|022,"[""REC-INTC-03-01"", ""REC-INTC-03-03"", ""REC-INTC-03-04""]"
ORACLE-GROUP|023,"[""REC-NKE-01-01"", ""REC-NKE-01-02"", ""REC-NKE-01-03"", ""REC-NKE-01-04"", ""REC-NKE-01-05"", ""REC-NKE-02-01"", ""REC-NKE-02-02"", ""REC-NKE-02-03"", ""REC-NKE-03-01"", ""REC-NKE-03-02"", ""REC-NKE-03-03""]"
ORACLE-GROUP|024,"[""REC-NKE-01-01"", ""REC-NKE-01-02"", ""REC-NKE-01-03"", ""REC-NKE-01-04"", ""REC-NKE-01-05"", ""REC-NKE-02-01"", ""REC-NKE-02-02"", ""REC-NKE-02-03"", ""REC-NKE-03-01"", ""REC-NKE-03-03""]"
ORACLE-GROUP|025,"[""REC-NKE-01-01"", ""REC-NKE-01-02"", ""REC-NKE-01-03"", ""REC-NKE-01-04"", ""REC-NKE-01-05"", ""REC-NKE-03-01""]"
ORACLE-GROUP|026,"[""REC-NKE-01-01"", ""REC-NKE-02-01"", ""REC-NKE-02-02"", ""REC-NKE-02-03""]"
ORACLE-GROUP|027,"[""REC-NKE-01-01"", ""REC-NKE-02-01"", ""REC-NKE-03-01"", ""REC-NKE-03-03""]"
ORACLE-GROUP|028,"[""REC-NKE-01-01"", ""REC-NKE-02-03"", ""REC-NKE-03-01""]"
ORACLE-GROUP|029,"[""REC-NKE-01-01"", ""REC-NKE-03-01""]"
ORACLE-GROUP|030,"[""REC-NKE-01-02"", ""REC-NKE-01-03"", ""REC-NKE-01-04"", ""REC-NKE-01-05""]"
ORACLE-GROUP|031,"[""REC-NKE-02-01""]"
ORACLE-GROUP|032,"[""REC-NKE-03-01""]"
ORACLE-GROUP|033,"[""REC-NKE-03-01"", ""REC-NKE-03-02"", ""REC-NKE-03-03""]"
ORACLE-GROUP|034,"[""REC-NVDA-01-01"", ""REC-NVDA-01-02"", ""REC-NVDA-02-01"", ""REC-NVDA-02-02""]"
ORACLE-GROUP|035,"[""REC-NVDA-01-03""]"
ORACLE-GROUP|036,"[""REC-NVDA-02-01"", ""REC-NVDA-02-02""]"
ORACLE-GROUP|037,"[""REC-NVDA-03-01"", ""REC-NVDA-03-02""]"
